Student_ID,Study_Hours,SocialMedia_Hours,Sleep_Hours,Attendance,GPA
726,4.2,5.9,6.9,69,2.98
727,4.5,1.2,5.7,87,3.36
728,5.1,0.5,5.2,67,3.78
729,3.5,0.9,6.6,93,3.59
730,3.1,6.5,7.9,77,2.72
731,4.9,2.9,6.6,81,3.68
732,2.7,9.1,8.6,95,2.66
733,5.2,2.9,5.1,69,3.21
734,1.4,4.4,6.8,68,2.33
735,6.4,7.1,5.3,76,3
736,5.4,8,7.2,92,3.42
737,5,8.1,7.9,67,2.64
738,6.3,6.4,6.3,54,2.97
739,7.5,6,3.7,77,3.21
740,6.3,5.2,7,88,3.69
741,1.2,5.6,7.3,94,2.59
742,2.2,2.9,7.3,77,2.82
743,3.4,2.4,8.3,78,3.04
744,4.5,4,5.5,94,3.16
745,5.4,3.7,7.6,63,3.51
746,3.2,3.1,8.2,78,3.04
747,4.8,5.4,4.7,84,3.27
748,3.1,5.9,7.2,86,2.77
749,3.4,4.2,6.2,77,3.03
750,2,7,6.7,82,2.8
751,2.8,1.7,7.2,57,3.04
752,2.1,3.6,6.2,75,2.65
753,2.7,2.6,6,87,3.11
754,6.4,0.3,6.8,72,3.9
755,2.8,3.8,5.5,83,2.91
756,9.2,3.8,5.5,86,4
757,5.4,7,7.6,79,3.26
758,4.8,5.3,5.4,84,3.29
759,3,2,7.6,72,2.9
760,5.8,7.7,7.4,80,3.11
